,ID
0,HMR_4371
1,HMR_4396
2,HMR_4122
3,HMR_9727
4,HMR_4020
5,HMR_4038
6,HMR_4042
7,HMR_4406
8,HMR_4412
9,HMR_4799
10,HMR_4802
11,HMR_4804
12,HMR_4808
13,HMR_4810
14,HMR_4812
15,HMR_4814
16,HMR_4030
17,HMR_3931
18,HMR_4034
19,HMR_4036
20,HMR_4050
21,HMR_4577
22,HMR_4608
23,HMR_4575
24,HMR_4644
25,HMR_4806
26,HMR_7160
27,HMR_3890
28,HMR_3839
29,HMR_3841
30,HMR_6974
31,HMR_6979
32,HMR_6980
33,HMR_6981
34,HMR_6982
35,HMR_3875
36,HMR_4324
37,HMR_4326
38,HMR_4158
39,HMR_4300
40,HMR_4628
41,HMR_4631
42,HMR_5130
43,HMR_5131
44,HMR_5132
45,HMR_5133
46,HMR_5134
47,HMR_5135
48,HMR_5136
49,HMR_5137
50,HMR_5138
51,HMR_5139
52,HMR_5140
53,HMR_5141
54,HMR_5142
55,HMR_5143
56,HMR_5145
57,HMR_5146
58,HMR_5147
59,HMR_5148
60,HMR_5149
61,HMR_5150
62,HMR_5151
63,HMR_4145
64,HMR_6916
65,HMR_6918
66,HMR_0237
67,HMR_0345
68,HMR_0393
69,HMR_2227
70,HMR_2228
71,HMR_2229
72,HMR_2230
73,HMR_2231
74,HMR_2232
75,HMR_2233
76,HMR_2234
77,HMR_2235
78,HMR_2236
79,HMR_2237
80,HMR_2238
81,HMR_2239
82,HMR_2240
83,HMR_2241
84,HMR_2242
85,HMR_2243
86,HMR_2244
87,HMR_2245
88,HMR_2246
89,HMR_2247
90,HMR_2249
91,HMR_2250
92,HMR_2251
93,HMR_2252
94,HMR_2254
95,HMR_2255
96,HMR_2256
97,HMR_2257
98,HMR_2332
99,HMR_2334
100,HMR_2336
101,HMR_2338
102,HMR_2342
103,HMR_2343
104,HMR_2344
105,HMR_2345
106,HMR_2347
107,HMR_2348
108,HMR_2349
109,HMR_2350
110,HMR_2353
111,HMR_2354
112,HMR_2355
113,HMR_2356
114,HMR_2361
115,HMR_2362
116,HMR_2363
117,HMR_2364
118,HMR_2201
119,HMR_2202
120,HMR_2203
121,HMR_2204
122,HMR_2205
123,HMR_2208
124,HMR_2209
125,HMR_2210
126,HMR_2211
127,HMR_2212
128,HMR_2213
129,HMR_2214
130,HMR_2215
131,HMR_2217
132,HMR_2218
133,HMR_2219
134,HMR_2259
135,HMR_2260
136,HMR_2261
137,HMR_2262
138,HMR_2263
139,HMR_2264
140,HMR_2265
141,HMR_2266
142,HMR_2267
143,HMR_2268
144,HMR_2269
145,HMR_2270
146,HMR_2293
147,HMR_2365
148,HMR_2288
149,HMR_2289
150,HMR_2151
151,HMR_2258
152,HMR_2499
153,HMR_2501
154,HMR_2503
155,HMR_2505
156,HMR_2530
157,HMR_2533
158,HMR_2535
159,HMR_2537
160,HMR_2540
161,HMR_2541
162,HMR_2542
163,HMR_2543
164,HMR_2399
165,HMR_2401
166,HMR_2403
167,HMR_2433
168,HMR_2434
169,HMR_2435
170,HMR_2436
171,HMR_2605
172,HMR_2611
173,HMR_2614
174,HMR_2620
175,HMR_2623
176,HMR_2633
177,HMR_2648
178,HMR_2651
179,HMR_2693
180,HMR_2708
181,HMR_2736
182,HMR_2771
183,HMR_2774
184,HMR_2606
185,HMR_2607
186,HMR_2613
187,HMR_2616
188,HMR_2618
189,HMR_2621
190,HMR_2622
191,HMR_2625
192,HMR_2649
193,HMR_2650
194,HMR_2652
195,HMR_2653
196,HMR_2695
197,HMR_2697
198,HMR_2709
199,HMR_2710
200,HMR_2716
201,HMR_2737
202,HMR_2738
203,HMR_2772
204,HMR_2773
205,HMR_2775
206,HMR_2776
207,HMR_3053
208,HMR_3056
209,HMR_3326
210,HMR_3327
211,HMR_3328
212,HMR_3329
213,HMR_3398
214,HMR_3414
215,HMR_3416
216,HMR_3424
217,HMR_3425
218,HMR_3432
219,HMR_3186
220,HMR_3187
221,HMR_3188
222,HMR_3189
223,HMR_3190
224,HMR_3191
225,HMR_3192
226,HMR_3193
227,HMR_3194
228,HMR_3195
229,HMR_3196
230,HMR_3197
231,HMR_3198
232,HMR_3199
233,HMR_3200
234,HMR_3201
235,HMR_3202
236,HMR_3203
237,HMR_3204
238,HMR_3205
239,HMR_3396
240,HMR_3397
241,HMR_3258
242,HMR_3260
243,HMR_3262
244,HMR_3264
245,HMR_3272
246,HMR_3234
247,HMR_3235
248,HMR_3236
249,HMR_3237
250,HMR_3239
251,HMR_6901
252,HMR_6903
253,HMR_6905
254,HMR_6906
255,HMR_0738
256,HMR_0741
257,HMR_0579
258,HMR_0580
259,HMR_0581
260,HMR_0592
261,HMR_0598
262,HMR_0610
263,HMR_4269
264,HMR_4718
265,HMR_4744
266,HMR_4746
267,HMR_4748
268,HMR_4750
269,HMR_4752
270,HMR_6634
271,HMR_6641
272,HMR_6642
273,HMR_6649
274,HMR_6651
275,HMR_6654
276,HMR_6655
277,HMR_6656
278,HMR_6657
279,HMR_6658
280,HMR_6659
281,HMR_6664
282,HMR_6665
283,HMR_6668
284,HMR_6669
285,HMR_6677
286,HMR_6678
287,HMR_6682
288,HMR_6687
289,HMR_6690
290,HMR_6691
291,HMR_6692
292,HMR_6693
293,HMR_6700
294,HMR_6701
295,HMR_6702
296,HMR_6703
297,HMR_6506
298,HMR_6508
299,HMR_4204
300,HMR_8613
301,HMR_8615
302,HMR_8616
303,HMR_2129
304,HMR_2131
305,HMR_2133
306,HMR_2134
307,HMR_2135
308,HMR_2136
309,HMR_2139
310,HMR_2142
311,HMR_2143
312,HMR_2144
313,HMR_2145
314,HMR_6436
315,HMR_6453
316,HMR_6470
317,HMR_6471
318,HMR_6472
319,HMR_6473
320,HMR_6482
321,HMR_6484
322,HMR_6486
323,HMR_6488
324,HMR_5363
325,HMR_8617
326,HMR_0015
327,HMR_0187
328,HMR_0191
329,HMR_0199
330,HMR_0203
331,HMR_0208
332,HMR_0212
333,HMR_0232
334,HMR_0236
335,HMR_0240
336,HMR_0244
337,HMR_0254
338,HMR_0266
339,HMR_0270
340,HMR_0274
341,HMR_0278
342,HMR_0288
343,HMR_0296
344,HMR_0300
345,HMR_0304
346,HMR_0308
347,HMR_0312
348,HMR_0322
349,HMR_0326
350,HMR_0340
351,HMR_0344
352,HMR_0348
353,HMR_0352
354,HMR_0356
355,HMR_0360
356,HMR_0364
357,HMR_0368
358,HMR_0372
359,HMR_0380
360,HMR_0384
361,HMR_0388
362,HMR_0392
363,HMR_0400
364,HMR_0404
365,HMR_0416
366,HMR_0420
367,HMR_0424
368,HMR_0428
369,HMR_0432
370,HMR_0436
371,HMR_4896
372,HMR_4919
373,HMR_4993
374,HMR_5987
375,HMR_6462
376,HMR_6474
377,HMR_7896
378,HMR_8612
379,HMR_0578
380,HMR_4743
381,HMR_6438
382,HMR_6454
383,HMR_6469
384,HMR_6481
385,HMR_6902
386,HMR_8614
387,HMR_2407
388,HMR_2509
389,HMR_3018
390,HMR_3021
391,HMR_3022
392,HMR_3023
393,HMR_8639
394,HMR_6629
395,HMR_9033
396,FAOXC2051843m
397,HMR_10023
398,HMR_10062
399,HMR_10063
400,HMR_10064
401,HMR_10065
402,biomass_human
403,HMR_10024
